LineName	FemaleParent	MaleParent
CP04-1491	CP96-1709	CP98-1119
CP04-1506	HoCP96-0540	L93-0378
CP04-1507	HoCP96-0540	L93-0378
CP04-1508	HoCP96-0540	L93-0378
CP04-1509	HoCP96-0540	L93-0378
CP04-1510	HoCP96-0540	L93-0378
CP04-1716	CP96-1709	01P06
CP04-1958	HoCP97-0609	CP92-1167
CP04-1959	HoCP97-0609	CP92-1167
CP04-1960	HoCP97-0609	CP92-1167
CP04-1978	CP97-1387	CP77-0407
CP04-2002	CP96-1252	CP77-0310
CP04-2168	L95-0483	HoCP96-0540
CP04-2169	L95-0483	HoCP96-0540
CP04-2170	L95-0483	HoCP96-0540
CP04-2171	L95-0483	HoCP96-0540
CP04-2193	L95-0483	HoCP96-0540
CP05-1643	TCP00-4519	HoCP00-0930
CP05-1666	L97-0128	HoCP01-0528
CP05-1697	CP94-2059	HoCP96-0540
CP06-2003	HoCP97-0609	CP92-1167
CP06-2031	HoCP99-0857	HoCP96-0540
CP06-2232	CP96-1709	CP00-2188
CP06-2461		unknown
CP06-2462		unknown
CP06-2463		unknown
CP06-2464		unknown
CP06-2465		unknown
CP06-2466		unknown
CP06-2467		unknown
CP06-2468		unknown
CP06-2469		unknown
CP06-2470		unknown
CP06-2471		unknown
CP06-2472		unknown
CP06-2473		unknown
CP06-2474		unknown
CP06-2475		unknown
CP06-2476		unknown
CP06-2477		unknown
CP06-2478		unknown
CP06-2479		unknown
CP06-2480		unknown
CP06-2481		unknown
CP06-2482		unknown
CP06-2483		unknown
CP06-2484		unknown
CP06-2485		unknown
CP06-2486		unknown
CP06-2487		unknown
CP06-2488		unknown
CP06-2489		unknown
CP06-2490		unknown
CP06-2491		unknown
CP06-2492		unknown
CP06-2493		unknown
CP06-2494		unknown
CP06-2495		unknown
CP06-2496		unknown
CP06-2590	TuCP77-0042	HoCP00-0930
CP06-2591	TuCP77-0042	HoCP00-0930
CP06-2822	HoCP00-0930	HoCP00-0930
CP06-2823	HoCP00-0930	HoCP00-0930
CP06-2824	HoCP00-0930	HoCP00-0930
CP06-2825	HoCP00-0930	HoCP00-0930
CP06-2826	HoCP00-0930	HoCP00-0930
CP0670	US1484	unknown
CP07-1053	HoCP02-0612	04P6
CP07-1173	HoCP02-0620	HoCP01-0517
CP07-1205	HoL01-0561	Ho01-0564
CP07-1299	CL02-8017	LCP85-0384
CP07-1301	CP97-1989	LCP85-0384
CP07-1403	CL02-8017	CL02-8071
CP07-2334	HoCP02-0632	HoCP01-0517
CP07-2335	HoCP02-0632	HoCP01-0517
CP07-2402	Ho93-0770	HoCP02-0632
CP07-2559	CL02-8148	20P05
CP0726	US1694	unknown
CP07-2647	Ho94-0856	L01-0283
CP07-2648	CP01-1178	CL02-8148
CP07-2651	HoCP03-0719	HoCP02-0618
CP0807	US1643	unknown
CP08-1360	L04-0408	CL89-5189
CP08-1365	L04-0408	CL89-5189
CP08-1376	L04-0408	CL89-5189
CP08-1382	L04-0408	CL89-5189
CP08-1483	CP98-1029	HoCP04-0838
CP08-1878	US02-0096	HoCP02-0632
CP09-1001	HoCP96-0540	POLY06-8
CP09-1010	L00-0247	CP96-1252
CP09-1011	L00-0247	CP96-1252
CP09-1012	L00-0247	CP96-1252
CP09-1013	L00-0247	CP96-1252
CP09-1014	L00-0247	CP96-1252
CP09-1015	L00-0247	CP96-1252
CP09-1016	L00-0247	CP96-1252
CP09-1017	L00-0247	CP96-1252
CP09-1072	CP98-1029	HoCP04-0838
CP09-1073	CP98-1029	HoCP04-0838
CP09-1075	CP03-1026	Ho01-0564
CP09-1076	CP03-1026	Ho01-0564
CP09-1103	CP02-1143	HoCP96-0540
CP09-1104	CP01-2390	HoCP00-0930
CP09-1105	CP01-2390	HoCP00-0930
CP09-1106	CP01-2390	HoCP00-0930
CP09-1107	CP03-1026	HoCP00-0930
CP09-1108	CP03-1026	HoCP00-0930
CP09-1109	CP03-1026	HoCP00-0930
CP09-1110	CP03-1026	HoCP00-0930
CP09-1111	CP03-1026	HoCP00-0930
CP09-1112	CP03-1026	HoCP00-0930
CP09-1113	CP03-1026	HoCP00-0930
CP09-1114	CP03-1026	HoCP00-0930
CP09-1445	L97-0128	CP92-1167
CP09-1837	L04-0429	CP01-2390
CP09-1838	L04-0429	CP01-2390
CP09-2200	L03-0393	CP84-1198
CP09-2201	L03-0393	CP84-1198
CP09-2202	L03-0393	CP84-1198
CP09-2203	L03-0393	CP84-1198
CP09-2204	L03-0393	CP84-1198
CP09-2205	L03-0393	CP84-1198
CP09-2251	CP02-1540	LCP85-0384
CP09-2252	CP02-1540	LCP85-0384
CP09-2253	CP02-1540	LCP85-0384
CP09-2254	CP02-1540	LCP85-0384
CP09-2255	CP02-1540	LCP85-0384
CP09-2286	L04-0410	CP97-1777
CP09-2372	HoCP02-0610	HoCP04-0838
CP09-2380	L05-0447	HoCP96-0540
CP09-2381	L05-0456	HoCP04-0838
CP09-2382	L05-0456	HoCP04-0838
CP09-2415	HoCP96-0540	POLY07-11A
CP09-2496	CP03-1026	HoCP00-0930
CP10-1001	L04-0408	CL88-4730
CP10-1002	L04-0408	CL88-4730
CP10-1963	Ho01-0564	HoCP05-0920
CP10-1964	Ho01-0564	HoCP05-0920
CP10-1965	Ho01-0564	HoCP05-0920
CP10-1966	Ho01-0564	HoCP05-0920
CP10-1967	Ho01-0564	HoCP05-0920
CP10-2050	L05-0459	CL89-5189
CP10-2051	L05-0459	CL89-5189
CP10-2052	L05-0459	CL89-5189
CP10-2053	L05-0459	CL89-5189
CP10-2054	L05-0459	CL89-5189
CP10-2055	L05-0459	CL89-5189
CP10-2056	L05-0459	CL89-5189
CP10-2342	L02-0316	CPCL05-1102
CP10-2343	L02-0316	CPCL05-1102
CP10-2346	CP04-1844	HoCP04-0838
CP10-2347	L06-0024	Mix 08-1O
CP10-2348	L06-0024	Mix 08-1O
CP10-2349	L06-0024	Mix 08-1O
CP10-2390	HoCP05-0903	HoCP05-0918
CP10-2395	HoCP05-0902	HoCP05-0918
CP10-2396	HoCP06-0512	L99-0226
CP10-2397	HoCP06-0512	L99-0226
CP10-2425	HoCP05-0902	HoCP05-0918
CP10-2431	HoCP05-0904	POLY08-15
CP10-2432	HoCP05-0904	POLY08-15
CP10-2440	HoCP05-0902	L99-0226
CP10-2441	Ho06-0543	HoCP05-0918
CP10-2442	Ho06-0543	HoCP05-0918
CP10-2443	HoCP05-0902	HoCP05-0918
CP10-2444	L06-0016	HoCP05-0918
CP10-2445	L06-0016	HoCP05-0918
CP10-2446	L06-0016	HoCP05-0918
CP10-2447	L06-0016	HoCP05-0918
CP10-2448	L06-0016	HoCP05-0918
CP10-2449	L06-0016	HoCP05-0918
CP10-2460	L99-0233	HoCP04-0838
CP10-2467	L05-0451	HoCP05-0918
CP10-2486	L05-0447	CP96-1252
CP10-2499	US04-9601	POLY08-11
CP10-2500	US04-9601	POLY08-11
CP11-1055	HoCP04-0821	US04-9601
CP11-1056	HoCP04-0821	US04-9601
CP11-1112	L04-0425	HoCP04-0836
CP11-1140	LCP85-0384	POLY06-26
CP11-1195	CP57-0614	CP00-1074
CP11-1196	CP57-0614	CP00-1074
CP11-1197	CP57-0614	CP00-1074
CP11-1198	CP57-0614	CP00-1074
CP11-1199	Ho06-0563	CP00-1074
CP11-1204	CP00-1074	HoCP04-0838
CP11-1205	CP00-1074	HoCP04-0838
